"","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
"1",2014-10-13,221900,3,1,1180,5650,1,FALSE,0,3,7,1180,NA,1955,NA,98178,47.5112,-122.257,1340,5650
"2",2014-12-09,538000,3,2.25,2570,7242,2,FALSE,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639
"3",2015-02-25,180000,2,1,770,10000,1,FALSE,0,3,6,770,NA,1933,NA,98028,47.7379,-122.233,2720,8062
"4",2014-12-09,604000,4,3,1960,5000,1,FALSE,0,5,7,1050,910,1965,NA,98136,47.5208,-122.393,1360,5000
"5",2015-02-18,510000,3,2,1680,8080,1,FALSE,0,3,8,1680,NA,1987,NA,98074,47.6168,-122.045,1800,7503
"6",2014-05-12,1225000,4,4.5,5420,101930,1,FALSE,0,3,11,3890,1530,2001,NA,98053,47.6561,-122.005,4760,101930
"7",2014-06-27,257500,3,2.25,1715,6819,2,FALSE,0,3,7,1715,NA,1995,NA,98003,47.3097,-122.327,2238,6819
"8",2015-01-15,291850,3,1.5,1060,9711,1,FALSE,0,3,7,1060,NA,1963,NA,98198,47.4095,-122.315,1650,9711
"9",2015-04-15,229500,3,1,1780,7470,1,FALSE,0,3,7,1050,730,1960,NA,98146,47.5123,-122.337,1780,8113
"10",2015-03-12,323000,3,2.5,1890,6560,2,FALSE,0,3,7,1890,NA,2003,NA,98038,47.3684,-122.031,2390,7570
"11",2015-04-03,662500,3,2.5,3560,9796,1,FALSE,0,3,8,1860,1700,1965,NA,98007,47.6007,-122.145,2210,8925
"12",2014-05-27,468000,2,1,1160,6000,1,FALSE,0,4,7,860,300,1942,NA,98115,47.69,-122.292,1330,6000
"13",2014-05-28,310000,3,1,1430,19901,1.5,FALSE,0,4,7,1430,NA,1927,NA,98028,47.7558,-122.229,1780,12697
"14",2014-10-07,4e+05,3,1.75,1370,9680,1,FALSE,0,4,7,1370,NA,1977,NA,98074,47.6127,-122.045,1370,10208
